Source,Target,Date,Preuves,Mea Culpa ?
Charles Beigbeder,Financement de presse raciste,,,
Charles Beigbeder,Manif pour tous,2011-2014,,
Charles Beigbeder,Opus Dei,,,
Charles Consigny,Manif pour tous,2011-2014,,
Charles de Courson,Manif pour tous,2011-2014,,
Charles Randolph ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Charles Roven,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Charlie Sheen,Pédophilie,1986,https://ew.com/movies/corey-feldman-accuses-charlie-sheen-abuse-corey-haim-my-truth-documentary/,
Charlie Sheen,Maltraitance couple,2004,https://www.mamamia.com.au/denise-richards-charlie-sheen-relationship/,
Chelsea Handler,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Chloe Fineman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Chris Brown,Violence couple,2009,https://eu.usatoday.com/story/life/health-wellness/2021/06/23/chris-brown-violence-against-women-and-whether-abusers-can-change/5321506001/,
Chris Fischer,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Chris Jericho,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Chris Pine,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Chris Pratt,Eugéniste (réflexion sur son fils qu’il a eu avec Anna Faris),,,
Chris Pratt,Grossophobie (cf début de carrière),,,
Chris Pratt,Propagande religieuse,,,
Chris Rock,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Christian Carino,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Christian Ronaldo,Viol,2009,https://www.spiegel.de/international/cristiano-ronaldo-kathryn-mayorga-the-woman-who-accuses-ronaldo-of-rape-a-1230634.html,
Christine Boutin,Homophobie,,,
Christine Kelly,Propagande raciste.,,,
Christophe Castaner,Fascisme ,Ministériat de l’intérieur,Répression violente des manifestations.,
Chuck Berry,Pédophilie,1959,https://www.rts.ch/info/culture/musiques/9063950-quand-scene-rock-et-derapages-pedophiles-faisaient-bon-menage.html,
Cindi Berger,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Claire Chazal,Défend PPDA,,,
Claire Coffee,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Claude François,Viols (sur mineure?),,,
Colleen Camp,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Constance Wu,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Cory Litwin,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Courteney Cox,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Craig Silverstein,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Dalaï-Lama,Pédophilie,,,
Dame Maureen Lipman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Damien Saez,Agressions sexuelles,,,
Dan Aloni,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Dan Mazer ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Dan Rosenweig,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Dan Swimer,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Dana Goldberg,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Dana Klein,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
